",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"146" ",\"ACSL5,365,511,382,293,213,229,413,496,349,147,146,122\""
"147" ",\"ACSL6,2,1,1,25,21,17,3,2,1,54,57,53\""
"148" ",\"ACSM1,12,9,5,31,20,22,57,57,36,135,133,100\""
"149" ",\"ACSM3,884,1198,825,694,497,531,296,383,253,567,541,498\""
"150" ",\"ACSS1,1108,1860,1487,1683,1687,1255,1278,1849,1275,1044,1205,923\""
"151" ",\"ACSS2,355,572,431,489,447,388,392,509,349,241,251,233\""
"152" ",\"ACTB,4891,7332,5469,5591,6391,5365,3134,3950,2400,1595,1855,1837\""
"153" ",\"ACTBP2,44,63,43,57,71,48,38,65,27,13,17,16\""
"154" ",\"ACTG1,3830,6165,4800,5422,5506,4868,1488,2213,1420,1221,1306,1082\""
"155" ",\"ACTG1P10,11,14,17,10,11,12,11,14,14,10,5,4\""
"156" ",\"ACTG1P3,18,13,14,17,12,12,31,22,16,35,31,20\""
"157" ",\"ACTL10,37,63,62,44,56,41,63,84,61,37,48,30\""
"158" ",\"ACTL6A,1261,1712,1227,1571,1159,1236,1280,1754,1233,919,1006,716\""
"159" ",\"ACTL8,3,7,6,19,18,14,0,1,0,6,9,2\""
"160" ",\"ACTN1,25,33,33,70,68,64,26,26,18,22,25,23\""
"161" ",\"ACTN2,71,104,84,105,91,73,94,126,77,80,101,82\""
"162" ",\"ACTN4,909,1494,1183,1744,1874,1495,983,1276,865,801,958,777\""
"163" ",\"ACTN4P1,14,23,13,28,26,17,4,21,17,13,9,11\""
"164" ",\"ACTR10,493,640,450,672,461,475,457,651,474,483,524,326\""
"165" ",\"ACTR1A,443,708,470,658,675,552,403,556,390,370,393,340\""
"166" ",\"ACTR1B,402,499,417,494,461,392,377,466,292,242,289,260\""
"167" ",\"ACTR2,3536,5537,3620,4245,4185,3779,2667,3632,2707,1544,1964,1329\""
"168" ",\"ACTR3,2767,3700,2407,3360,2527,2729,2182,2762,1951,2196,2354,1691\""
"169" ",\"ACTR3B,91,125,86,98,66,73,97,119,87,57,48,39\""
"170" ",\"ACTR3C,131,159,117,148,90,76,200,230,167,56,75,44\""
"171" ",\"ACTR3P2,39,46,23,63,23,54,26,41,22,25,32,21\""
"172" ",\"ACTR5,178,269,155,290,222,217,248,274,187,167,211,147\""
"173" ",\"ACTR6,308,414,239,332,228,228,261,385,293,182,178,128\""
"174" ",\"ACTR8,567,773,557,701,546,552,385,478,305,261,289,234\""
"175" ",\"ACTRT3,17,32,22,22,24,32,23,22,17,18,15,8\""
"176" ",\"ACVR1,25,24,23,17,13,22,14,12,12,5,5,2\""
"177" ",\"ACVR1B,292,459,330,290,216,236,95,138,89,52,53,48\""
"178" ",\"ACVR2A,52,88,52,65,47,61,36,39,42,30,31,30\""
"179" ",\"ACVR2B,188,275,187,346,289,307,79,101,74,93,98,60\""
"180" ",\"ACY1,26,46,18,26,44,37,36,56,32,36,28,22\""
"181" ",\"ACYP1,98,131,84,103,61,77,113,181,111,84,84,64\""
"182" ",\"ACYP2,78,88,60,97,95,68,70,127,51,78,94,67\""
"183" ",\"ADAL,257,366,250,354,200,237,339,475,289,277,323,214\""
"184" ",\"ADAM10,1268,1685,1151,1468,1188,1226,1024,1172,881,727,782,496\""
"185" ",\"ADAM15,488,744,554,511,619,387,431,629,351,200,212,202\""
"186" ",\"ADAM17,369,549,359,529,428,512,489,607,445,366,458,349\""
"187" ",\"ADAM22,111,148,96,189,111,150,87,105,93,98,106,86\""
"188" ",\"ADAM32,79,96,73,102,53,70,140,155,145,102,94,72\""
"189" ",\"ADAM8,74,97,69,64,67,48,51,78,56,35,40,32\""
"190" ",\"ADAM9,988,1255,913,1265,878,1021,1377,1752,1283,1269,1434,1014\""
"191" ",\"ADAMTS14,0,0,0,0,1,0,111,167,74,18,28,14\""
"192" ",\"ADAMTS19,4,10,10,74,66,57,2,0,0,1,6,4\""
"193" ",\"ADAMTS3,321,451,304,566,328,442,363,501,323,221,228,153\""
"194" ",\"ADAMTS6,42,49,32,70,41,49,36,40,26,36,31,22\""
"195" ",\"ADAMTSL2,24,27,34,45,48,41,40,49,30,36,30,30\""
"196" ",\"ADAMTSL4,21,29,15,77,48,45,29,35,27,63,80,79\""
"197" ",\"ADAMTSL4-AS1,24,34,13,16,16,17,14,15,12,27,18,12\""
"198" ",\"ADAMTSL5,23,35,19,27,40,25,26,35,28,21,33,36\""
"199" ",\"ADAP1,11,12,7,18,22,12,6,9,3,5,9,3\""
"200" ",\"ADAR,1454,2262,1695,1818,1841,1613,1814,2246,1513,1414,1641,1366\""
"201" ",\"ADARB1,195,279,197,341,328,291,222,274,180,222,244,193\""
"202" ",\"ADAT1,200,266,217,240,168,174,249,322,211,159,170,139\""
"203" ",\"ADAT2,1497,1838,1423,1600,1257,1312,1729,2171,1525,1070,1262,846\""
"204" ",\"ADAT3,13,18,21,20,32,25,13,13,13,8,10,9\""
"205" ",\"ADCK1,62,101,73,92,69,55,102,130,86,106,98,90\""
"206" ",\"ADCK2,109,153,123,127,122,111,50,83,58,44,48,46\""
"207" ",\"ADCK5,105,163,126,163,162,117,164,203,166,126,161,111\""
"208" ",\"ADCY10,4,6,2,4,2,2,8,15,13,6,15,10\""
"209" ",\"ADCY10P1,45,44,33,56,44,29,77,86,70,85,104,85\""
"210" ",\"ADCY3,107,165,158,113,107,87,94,92,70,32,35,24\""
"211" ",\"ADCY7,485,712,626,661,741,587,575,801,518,594,631,517\""
"212" ",\"ADD1,788,1091,780,1159,895,900,932,1082,721,783,820,620\""
"213" ",\"ADD2,2702,4120,3248,4613,4354,3940,4781,6479,4148,5164,5741,4762\""
"214" ",\"ADD3,663,790,586,619,390,420,589,696,507,558,655,446\""
