"sgSCR_pre_r1"	"sgSCR_pre_r2"	"sgSCR_pre_r3"	"MBD2KO_pre_r1"	"MBD2KO_pre_r2"	"MBD2KO_pre_r3"	"sgSCR_post_r1"	"sgSCR_post_r2"	"sgSCR_post_r3"	"MBD2KO_post_r1"	"MBD2KO_post_r2"	"MBD2KO_post_r3"
"ACACB"	10.6515562535187	11.0086275211711	12.8869983671427	10.0304539550289	9.4897289029874	6.99604746057889	12.1417717378421	12.619357764585	11.385498304469	7.35931544797165	6.00303147523997	7.96799906782967
"ACAD10"	26.5771840500418	27.3728035661551	30.9078416122527	25.2735847685767	25.8546695622208	24.1412905329835	36.8439969975899	40.5275528208786	35.6823864387483	33.9054175995837	32.896612484315	36.246583994833
"ACAD8"	31.9546687605561	28.2653949867906	31.326930990046	31.5919809607208	33.7950549708429	37.0494907771502	24.5975548137319	25.4813954861812	20.0713423717959	26.0204367624712	23.0516408649215	25.466349961887
"ACAD9"	77.3530492973979	75.9446533724031	82.0367457030302	82.613030212285	85.6012280636823	82.6716030905026	71.5945850748622	70.3771875332622	65.7307118608521	68.7307496301638	70.5956501488221	68.8997566453507
"ACADM"	114.168136930919	106.739057384327	100.790995359278	115.942570125845	105.742693490431	115.681122798868	84.6783908268472	86.4749580150084	89.0885898256906	106.184408606448	104.212626410166	85.1482253326896
"ACADS"	8.06622706577144	8.92591420635491	7.96269817807189	13.0316921462973	15.3966009752551	12.119913206355	14.9678737802709	14.4799041016712	12.4418847450899	31.9341723903056	32.6564912253055	37.027760374032
"ACADSB"	22.5440705171561	24.025585738772	23.2594604675258	23.141126053728	27.3071790881882	29.6592997976654	22.0854641093508	22.1647694070274	26.8791661002413	25.6261877206156	27.6139447861039	23.7477619276492
"ACADVL"	259.463637282315	260.339164352018	269.684014609961	248.470930256069	262.226386421325	236.190503704332	287.634385651639	293.157388069589	311.164494898427	251.662305051173	248.045260556916	279.973614304917
"ACAP1"	32.4717345981055	28.116629750018	33.5271502234606	15.0851709087442	21.5939749527162	14.4847743197901	11.1997377236992	12.619357764585	11.7376271180093	10.7761404773871	11.1656385439463	9.99905765374704
"ACAP2"	451.81212885071	398.542069313747	371.522733413723	265.767539832064	234.144535585954	268.313200495159	165.483975151107	153.050159555094	169.139206770514	172.155414943623	159.920758500393	150.923276461244
"ACAP2-IT1"	2.48191602023737	2.52900902513389	1.78112985562134	0.947759428821625	1.16200762077397	1.97071759452926	1.46538624422232	0.970719828044996	1.17376271180093	1.44557982013729	0.720363777028797	0.781176379198987
"ACAP3"	31.5410160905165	30.943169248697	40.651669645946	35.0670988664001	46.3834708625609	36.162667859612	19.259362066922	23.2163825540762	21.5972338971371	28.6487637081754	32.0561880777815	38.9025836841096
"ACAT1"	263.91040348524	249.181771594075	229.870523719602	284.248848694086	228.721833355676	265.849803501998	232.054378817207	232.002038902754	242.616752529252	281.493815884916	286.824843886966	264.975027824296
"ACAT2"	136.505381113055	149.80659342999	135.470641371671	137.820016941145	128.886011937513	155.095474689453	100.797639513293	100.631288840665	103.408494909662	103.687498008029	91.005957164638	88.2729308494856
"ACBD3"	51.4997574199253	51.398389304927	49.3477742351561	54.8120869668506	52.6776788084199	59.4171354750573	48.6717573973844	46.3518717891486	50.2370440650798	51.778040830372	53.1868588706262	42.4959950284249
"ACBD4"	3.41263452782638	2.82653949867906	3.56225971124269	3.15919809607208	5.03536635668719	2.26632523370865	2.30274981234937	4.44913254520623	4.22554576248335	4.99382119683791	4.08206140316318	4.99952882687352
"ACBD5"	33.2990399381846	34.513534931239	30.4887522344595	34.5142391995875	28.6628546457579	30.4475868354771	28.7843726543671	32.4382209205036	34.8607525404876	33.6425849050133	34.8175825563918	29.9971729612411
"ACBD6"	71.1482592468045	68.3576262970014	66.0065770024381	74.0831953528903	67.2996080364923	67.6941493720802	80.2822320941802	79.841705856701	80.5201220295438	68.3365005883082	66.5135887456589	71.2432857829476
"ACBD7"	7.23892172569231	7.81017493056055	5.55293425576066	7.26615562096579	7.55304953503079	6.89751158085242	2.40742025836525	2.75037284612749	1.6432677965213	1.7084125147077	3.72187951464878	3.59341134431534
"ACCS"	11.0652089235583	12.4218972705106	13.7251771227292	11.2941331934577	17.0427784380182	12.4155208455344	8.68764701931807	7.36129202934122	7.98158644024632	6.70223371154561	7.08357714078317	6.87435213695109
"ACD"	5.48089787802418	5.20678328704037	5.23861722241572	4.42287733450092	6.0037060406655	3.84289930933206	6.28022676095282	5.90521228727373	4.92980338956391	4.20532311312666	3.72187951464878	5.62446993023271
"ACER2"	4.03311353288572	4.16542662963229	4.81952784462246	3.55409785808109	5.42270223027851	4.72972222687023	2.93077248844465	3.72109267417249	3.16915932186251	5.38807023869353	4.68236455068718	6.56188158527149
"ACER3"	38.9867641512286	38.9764920344165	42.5375718460156	28.5907427694523	26.0483374990164	29.560763917939	12.4557830758898	11.972211212555	16.0805491516727	11.6960549083835	11.2856991734511	12.8112926188634
"ACHE"	3.92970036537583	4.68610495833633	4.81952784462246	9.95147400262706	11.2327403341484	8.47408565647583	14.4445215501915	15.5315172487199	14.3199050839713	25.3633550260452	29.0546723401615	32.6531726505177
"ACIN1"	216.030106928161	226.495072986256	249.462952131437	235.597198014576	275.105304218237	258.065469003607	210.178255599888	212.911215617869	215.737586429011	219.859549008153	228.595438577138	236.696442897293
"ACKR1"	1.75802384766813	1.19012189418066	2.51453626675955	4.89675704891173	5.90687207226767	4.23704282823792	2.61676115039701	3.55930603616499	2.46490169478195	6.04515197511957	4.08206140316318	6.0931757577521
"ACKR2"	0.620479005059341	0.371913091931455	0.419089377793258	0.0789799524018021	0.193667936795661	0.197071759452926	1.36071579820644	1.37518642306374	0.939010169440744	1.7084125147077	0.960485036038396	0.937411655038785
"ACKR4"	1.13754484260879	1.04135665740807	1.25726813337977	1.10571933362523	0.968339683978306	0.788287037811706	1.15137490617468	0.970719828044996	1.05638644062084	0.788498083711248	0.720363777028797	0.781176379198987
"ACLY"	359.774409766908	385.45072847776	375.294537813862	349.32832947317	341.146070665557	389.21672491953	322.908325958991	308.365332042294	322.784745745256	208.16349409977	193.777856020746	219.666797830755
"ACO1"	78.3871809724968	83.3085325926459	89.0564927810672	87.8257070708039	97.5118061766154	95.5798033346693	45.6363144629238	49.2640312732836	46.3636271161367	47.4413013699601	48.6245549494438	56.2446993023271
"ACO2"	25.1293997049033	31.9845259061051	37.6132716569449	35.6199585332127	53.161848650409	39.3158160108588	37.3673492276693	40.8511260968936	39.7905559300515	45.0758071188264	52.5865557231022	57.9632873365649
"ACOT1"	27.9215552276704	27.6703340397002	29.9648905122179	36.8046578192398	36.7000740227778	31.9256250313741	10.467044601588	11.64863793654	8.56846779614679	7.88498083711248	6.48327399325917	7.34305796447048
"ACOT11"	0.20682633501978	0.446295710317746	0.523861722241572	1.18469928602703	1.35567555756963	1.18243055671756	0	0.161786638007499	0.704257627080558	0.525665389140832	1.0805456655432	0.468705827519392
"ACOT13"	48.9144282321781	44.8527188869334	45.99505921281	49.4414502035281	44.6404594313999	45.523576433626	59.5574837830359	57.3533631736585	62.5615525389896	73.1989054378609	63.3920123785341	58.7444637157638
"ACOT2"	28.4386210652198	28.2653949867906	29.8601181677696	34.1193394375785	32.9235492552624	33.6007349867239	13.7118284280803	13.1047176786075	13.1461423721704	10.9075568246723	8.52430469484076	9.84282237790724
"ACOT4"	3.10239502529671	3.42160044576938	2.82885330010449	2.76429833406307	2.32401524154793	1.77364583507634	1.25604535219056	1.1325064660525	0.704257627080558	0.131416347285208	0.240121259009599	0.781176379198987
"ACOT7"	5.99796371557363	8.25647064087829	11.5249578893146	8.21391504978741	14.2345933544811	8.27701389702291	10.1530332635404	11.972211212555	10.094359321488	7.35931544797165	8.64436532434556	10.3115282054266
"ACOT8"	14.4778434513846	13.537636546305	14.5633558783157	13.1106720986991	12.8789177969115	12.8096643644402	25.5395888278748	21.2749428979862	22.5362440665779	19.1867867036404	18.2492156847295	18.7482331007757
"ACOT9"	57.8079606380286	52.9604242910392	51.1289040907774	52.2057485375912	45.6087991153782	52.7166956536578	19.5733734049696	18.3627834138512	18.3106983040945	14.8500472432285	12.4863054684991	14.0611748255818
